Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,Subject,"Catalog Nbr",Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,NF,CR,I,NC,P,W
"Marsh, Robert",,,,,,BIOL,3161,004,2,5,6,,7,1,3,1,4,5,2,1,5,,,,,,1
"Lee, Jiyong",,,,,,BIOL,3161,005,4,2,5,4,1,7,1,7,4,1,1,1,2,,,,,,2
"Marsh, Robert",,,,,,BIOL,3161,006,13,4,7,5,,1,2,2,2,3,1,,3,,,,,,0
"Lee, Jiyong",,,,,,BIOL,3161,007,3,3,9,1,1,3,2,6,4,,4,2,1,,,,,,2
"D'Arcy, Sheena",,,,,,BIOL,3161,008,1,2,6,7,6,3,2,3,3,5,5,1,1,,,,,,1
"Dejong, Jeff L",,,,,,BIOL,3162,001,1,3,1,,2,,3,4,2,1,1,,3,,,,,,0
"Candas, Mehmet",,,,,,BIOL,3162,002,1,2,,7,10,1,3,2,2,,,,,,,,,,0
"Candas, Mehmet",,,,,,BIOL,3162,003,,,1,4,2,,5,1,,2,1,,1,,,,,,0
"Dejong, Jeff L",,,,,,BIOL,3162,004,1,1,1,2,4,,4,1,2,,,,1,,1,,,,1
"Dejong, Jeff L",,,,,,BIOL,3162,005,2,1,2,1,5,,1,5,3,,,,,,,,,,1
"Candas, Mehmet",,,,,,BIOL,3162,006,1,2,1,7,3,,3,,3,2,1,,2,,,,,,3
"Hannig, Ernest","Dejong, Jeff L","Slape, Coreen M","Ullrich, Morgan S","Kunder, Nikesh Prakash",,BIOL,3301,001,,5,5,,13,9,4,19,23,21,23,6,3,,2,,,,33
"Burr, John G","Srikanth, Uma","Tandon, Neha Ramesh","Lal, Sneha","Nowak, Chance M",,BIOL,3302,001,8,28,13,9,18,5,2,17,4,1,8,1,1,,7,,,,5
"Reitzer, Lawrence","Sudarshan, Sushmita",,,,,BIOL,3335,001,10,30,3,6,30,2,7,18,,2,3,2,1,,,,,,3
"Dejong, Jeff L","Candas, Mehmet","Goel, Richa","McDill, Parker M","Ambagaspitiye Gedara, Sankalya S",,BIOL,3362,001,6,8,6,20,26,1,17,13,11,5,3,,6,,1,,,,4
"Ramirez, Ruben D",,,,,,BIOL,4350,501,3,3,5,6,6,5,2,3,2,,1,,2,,,,,,1
"Borovkov, Irina G","Bairuty, Dania S",,,,,BIOL,4380,302,3,5,2,6,2,1,1,,,,,,,,,,,,0
"Xuan, Zhenyu","Levene, Stephen",,,,,BIOL,5376,501,,,1,1,3,,,,,,,,,,,,,,0
"Campbell, Zachary","Gonzalez, Juan E",,,,,BIOL,5420,001,,5,,,18,,,8,,,,,4,,,,,,3
"Xuan, Zhenyu",,,,,,BIOL,6193,001,,,,,,,,,,,,,,,,,,26,0
"Kim, Tae Hoon",,,,,,BIOL,6252,001,,,,,,,,,,,,,,,,,,9,0
"Griffin, William R",,,,,,GEOS,1103,101,4,4,3,7,2,1,1,1,,,,,1,,,,,,0
"Griffin, William R",,,,,,GEOS,1103,102,,6,4,4,3,1,1,2,,,1,,1,,,,,,0
"Manton, William I",,,,,,GEOS,2409,001,,,,3,4,4,,,1,,,,,,,,,,1
"Stern, Robert",,,,,,GEOS,3464,001,,6,4,2,5,4,1,,1,,1,,,,,,,,0
"Ferguson, John F","Zhu, Hejun",,,,,GEOS,4320,001,,4,2,3,4,,,,,,,,,,,,,,0
"Brikowski, Tom",,,,,,GEOS,7110,001,,8,,,,,,,,,,,,,,,,,0
"Mcmechan, George",,,,,,GEOS,7190,001,,,,,,,,,,,,,,,,,,8,0
"Sutton, Julie","Akhavan Varnousfadera, Mohammadmehdi",,,,,MATH,1306,001,6,5,4,,3,1,3,,1,1,,1,,,,,,,2
"Rakotomalala, Diarisoa Mihaj A",,,,,,MATH,1314,002,7,1,2,6,3,3,6,4,2,2,,2,7,,,,,,3
"McCary, Brady C",,,,,,MATH,1314,001,9,5,4,3,5,2,2,3,1,2,1,,7,,,,,,2
"Sutton, Julie",,,,,,MATH,1316,001,4,1,9,3,13,6,1,2,2,,1,1,1,,,,,,1
"Ali, Ahmed T",,,,,,MATH,1325,001,4,4,4,7,4,2,2,5,1,3,3,1,3,,,,,,3
"Li, Changsong",,,,,,MATH,1325,002,6,5,8,4,3,5,2,4,4,4,1,,,,,,,,0
"Mussa, Derege",,,,,,MATH,1326,002,5,3,2,3,3,8,3,1,2,,2,3,9,,,,,,3
"Sauter, Alan D",,,,,,MATH,2312,001,8,5,3,2,6,3,1,3,3,3,2,1,7,,,,,,0
"Jevtic, Filip D","Dragovic, Vladimir","Chowdhury, Md Mujibur Rahma","Zhang, Lei","Guo, Jing",,MATH,2333,002,8,3,3,3,2,,2,2,2,,,,5,,,,,,1
"Jevtic, Filip D","Dragovic, Vladimir","Gelir, Fatih","Zhang, Lei","Guo, Jing",,MATH,2333,001,5,4,3,,5,1,3,,2,,3,,4,,,,,,2
"Lewis, David L",,,,,,MATH,2414,001,2,3,2,4,2,6,4,6,4,1,1,,9,,,,,,3
"Zweck, John W",,,,,,MATH,2415,001,7,9,4,4,17,,1,8,2,,4,2,7,,,,,,2
"Estacio-Hiroms, Kemelli",,,,,,MATH,2417,001,15,2,3,4,,2,1,1,5,,,,8,,,,,,1
"Estacio-Hiroms, Kemelli",,,,,,MATH,2417,002,11,2,2,1,3,2,,1,6,,,1,2,,,,,,2
"Dahal, Rabin",,,,,,MATH,2417,003,9,4,1,1,3,6,3,1,3,,,4,8,,,,,,2
"Arnold, Maxim",,,,,,MATH,2418,001,2,2,4,2,9,9,3,3,3,6,,,7,,,,,,1
"Foley, Manjula",,,,,,MATH,2419,001,11,7,4,5,1,,3,2,3,,1,,4,,,,,,1
"Foley, Manjula",,,,,,MATH,2419,002,9,13,2,7,4,7,3,,10,,1,,6,,,,,,3
"Makarenkov, Oleg",,,,,,MATH,2420,002,4,8,3,6,6,7,6,6,3,6,7,,1,,,,,,0
"Makarenkov, Oleg",,,,,,MATH,2420,001,3,9,8,19,5,5,8,2,9,3,7,,1,,,,,,2
"McCary, Brady C",,,,,,MATH,2451,001,10,9,11,11,7,3,7,5,2,1,,1,8,,,,,,0
"Dabkowska, Malgorzata A","Wu, Che-Yu",,,,,MATH,3310,001,9,11,3,2,3,2,4,1,1,2,,,1,,,,,,0
"Dabkowska, Malgorzata A","Hu, Mengqi",,,,,MATH,3311,001,3,5,4,4,1,1,1,2,,,,1,,,,,,,0
"Dabkowski, Mieczyslaw K","Helal, Md Abu",,,,,MATH,4301,001,12,11,3,2,2,4,3,4,2,,,,4,,,,,,0
"Garrett, Bentley T","Iudaev, Sergei",,,,,MATH,4334,001,4,8,5,4,2,5,9,3,7,1,4,2,2,,,,,,4
"Tran, Anh T","Acharya, Subas",,,,,MATH,4341,001,11,7,,4,2,1,3,4,3,2,1,,1,,,,,,1
"Hu, Qingwen",,,,,,MATH,5301,501,,5,12,2,2,1,,2,,,,,,,,,,,2
"Balanov, Zalman","Wu, Hao Pin",,,,,MATH,6301,501,,4,7,2,9,3,,,,,,,,,,,,,2
"Hooshyar, Mohammad",,,,,,MATH,6315,001,,6,4,1,2,5,,,,,,,,,,,,,1
"Wu, Jiayi",,,,,,STAT,1342,001,6,11,3,5,5,3,5,6,2,2,4,,4,,,,,,3
"Efromovich, Sam",,,,,,STAT,4351,501,12,4,6,4,5,9,18,10,17,,,9,,,,,,,5
"Chen, Min","Islambekov, Umar",,,,,STAT,5351,001,,22,7,5,10,3,,,,,,,,,,,,,3
"Efromovich, Sam",,,,,,STAT,6331,501,,5,3,3,,1,,1,,,,,,,,,,,1
"Malko, Anton V",,,,,,PHYS,1100,001,,,,,,,,,,,,,,,68,,,,3
"Chen, Lunjin",,,,,,PHYS,1301,001,28,41,22,20,27,14,26,20,8,11,10,,15,,,,,,10
"Sun, Kuei","Zheng, Peng Peng",,,,,PHYS,2125,101,4,18,1,,2,2,,,,,,,1,,,,,,0
"Sun, Kuei","Kahanda, Galathara L",,,,,PHYS,2125,102,5,23,1,,,,,,,,,,,,,,,,1
"Sun, Kuei","Kahanda, Galathara L",,,,,PHYS,2125,103,11,13,1,,1,,,,,,,,2,,,,,,1
"Sun, Kuei","Wang, Qing",,,,,PHYS,2125,114,17,11,,,,,,,,,1,,,,,,,,1
"Sun, Kuei","Zheng, Yangzi",,,,,PHYS,2125,115,9,11,4,3,,1,1,,,,,,,,,,,,0
"Macalevey, Paul J","Kramer, Aaron A",,,,,PHYS,2126,101,11,8,3,1,1,1,,,,,1,,1,,,,,,3
"Macalevey, Paul J","Fernando, Bharana A",,,,,PHYS,2126,102,10,16,2,1,,,,,,,,,,,,,,,0
"Macalevey, Paul J","Wang, Qiyue",,,,,PHYS,2126,104,11,12,2,2,1,2,,,,,,,,,,,,,0
"Macalevey, Paul J","Steinle, Nathan A",,,,,PHYS,2126,105,3,9,11,4,1,,,,,,,,,,,,,,1
"Macalevey, Paul J","Wijeratne, Lakitha O",,,,,PHYS,2126,107,8,14,6,2,,,,,,,,,,,,,,,0
"Macalevey, Paul J","Wang, Qiyue",,,,,PHYS,2126,109,7,16,2,,2,3,,,,,,,,,,,,,0
"Khan, Amena",,,,,,PHYS,2303,001,9,11,5,7,5,1,3,1,2,2,2,,5,,,,,,9
"Ishak-Boushaki, Mustapha",,,,,,PHYS,2325,001,49,26,22,21,27,23,5,20,15,5,11,6,16,,,,,,12
"Glosser, Robert",,,,,,PHYS,2326,002,18,23,,8,21,11,8,7,10,,17,,11,,,,,,9
"King, Lindsay J","Fong, Matthew","Choi, Miyoung","Rahmanian Koshkaki, Saeed",,,PHYS,2326,501,10,61,,22,30,14,31,34,40,12,2,,1,,,,,,6
"Da Silveira Rodrigues, Fabiano","Proctor, Matthew S",,,,,PHYS,3330,001,,9,6,2,4,3,1,2,3,,,,5,,,,,,1
"Anderson, Phillip C",,,,,,PHYS,3380,001,1,4,4,1,2,3,4,3,1,2,,,4,,,,,,4
"Malko, Anton V","Proctor, Matthew S",,,,,PHYS,3416,001,1,,2,2,4,9,,12,,,3,,7,,,,,,1
"Heelis, Roderick A","Zewdie, Gebreabkidanu",,,,,PHYS,5322,001,,3,6,1,3,,,,,,,,,,,,,,0
"Pujana, Ignacio",,,,,,GEOS,1303,0W1,97,57,26,12,20,11,8,6,8,,4,5,9,,,,,,2
"Sun, Kuei","Khashami, Fatemeh",,,,,PHYS,2125,104,3,24,2,1,,,,,,,,,,,,,,,0
"Macalevey, Paul J","Parish, Christopher R",,,,,PHYS,3411,001,2,3,9,4,3,,2,,,,,,,,,,,,1
"York, Megan",,,,,,NATS,1141,001,3,9,4,,1,1,,,,,,,,,,,,,4
"Dorsey, Floyd Z",,,,,,NATS,1141,002,1,14,,,3,,,,,,,,2,,,,,,3
"Donaldson, Katherine E",,,,,,NATS,1143,001,5,3,4,1,1,4,,,1,,,,,,,,,,1
"Dingrando, Laurel P","Karakis, Merve",,,,,NATS,3341,002,3,10,8,1,2,2,,2,,,,,1,,,,,,0
"McConnell, James S",,,,,,NATS,3343,001,,9,1,2,,,,,,,,,,,,,,,0
"Montgomery, Homer A","Bettilyon, Crystal N","Newton, Kristen L","Gallardo, Johnny",,,NATS,4390,001,3,2,2,2,1,1,1,1,,,,,3,,,,,,3
"Kelly, Mary Lena U","Baker, Wesley A",,,,,SCI,5331,501,,5,1,,1,,,,,,,,,,,,,,0
"Manton, William I",,,,,,GEOS,5315,001,,11,6,6,3,1,,,,,,,,,,,,,0
"Lin, Wen J","Chen, Hao",,,,,BIOL,2281,306,2,4,9,3,2,1,1,,,,,,1,,,,,,0
"Borovkov, Irina G","Wei, Hong",,,,,BIOL,4380,304,,3,2,2,4,3,2,,1,,,1,,,,,,,0
"Minkoff, Susan E",,,,,,MATH,6313,001,,9,1,1,5,5,,3,,,,,1,,,,,,0
"Macalevey, Paul J","Yao, Ji",,,,,PHYS,5301,501,,21,5,4,3,,,,,,,,,,,,,,0
"Kesden, Michael H","Yao, Ji",,,,,PHYS,5311,001,,10,4,10,8,,,1,,,,,,,,,,,0
"Cortes, Sergio J","Udamulle Gedara, Chinthaka Mahesh",,,,,CHEM,2123,101,21,7,2,,,,,,,,,,,,,,,,0
"Cortes, Sergio J","Udamulle Gedara, Chinthaka Mahesh",,,,,CHEM,2123,102,17,10,2,,,,,,,,,,,,,,,,1
"Wijenayake, Sumudu N","Wang, Hanghang",,,,,CHEM,2123,103,19,7,2,1,,,,,,,,,,,,,,,0
"Shah, Shailesh N","Graham, Robert L","Ong, Whitney",,,,CHEM,2123,104,12,12,6,,,,,,,,,,,,,,,,0
"Wijenayake, Sumudu N","Ong, Whitney",,,,,CHEM,2123,601,17,8,3,,,,,,,,,,,,,,,,0
"Shah, Shailesh N","Lin, Jason",,,,,CHEM,2123,602,9,15,4,2,,,,,,,,,,,,,,,0
"Shah, Shailesh N","Luzuriaga, Michael A",,,,,CHEM,2123,107,8,12,3,2,2,,,,,,,,1,,,,,,1
"Tran, Daniel N","Saavedra, Daniel P",,,,,CHEM,2123,108,10,13,2,2,1,,1,,,,,,,,,,,,1
"Shah, Shailesh N","Luzuriaga, Michael A",,,,,CHEM,2123,109,16,13,1,,,,,,,,,,,,,,,,0
"Tran, Daniel N","Liyanage, Anuradha V",,,,,CHEM,2123,110,10,12,2,3,,,,,,,,,1,,,,,,2
"Wijenayake, Sumudu N","Ahmadi-Tehrani, Dara",,,,,CHEM,2123,603,10,13,5,2,,,,,,,,,,,,,,,0
"Tran, Daniel N","Lin, Jason",,,,,CHEM,2123,604,11,6,7,3,1,,,,,,,,,,,,,,2
"Tran, Daniel N","Graham, Robert L",,,,,CHEM,2123,113,13,11,4,,,,,,1,,,,,,,,,,1
"Shah, Shailesh N","Diwakara Mohottalalage, Shashini Devika D",,,,,CHEM,2125,101,6,14,7,,,,,,,,,,,,,,,,2
"Wijenayake, Sumudu N","Diwakara Mohottalalage, Shashini Devika D",,,,,CHEM,2125,102,14,7,3,2,,,1,,,,,,,,,,,,1
"Wijenayake, Sumudu N","Diwakara Mohottalalage, Shashini Devika D",,,,,CHEM,2125,103,11,12,2,2,,,,,,,,2,,,,,,,1
"Nguyen, Mylinh T",,,,,,MATH,2413,001,7,12,3,6,3,3,1,3,2,1,1,1,4,,,,,,0
"Nguyen, Mylinh T",,,,,,MATH,2413,002,7,6,7,6,5,5,1,1,2,,2,2,3,,,,,,1
"Lewis, David L",,,,,,MATH,2414,003,2,2,3,3,2,4,4,7,6,2,3,,9,,,,,,1
"Aman, Kelly",,,,,,MATH,2312,003,8,4,3,4,5,4,1,4,1,1,,2,10,,,,,,1
"Lin, Wen J","Thaseen, Sadiqa",,,,,BIOL,2281,307,,2,5,6,3,6,1,,,,,,,,,,,,0
"Lin, Wen J","Do, Hung P",,,,,BIOL,2281,308,1,4,4,3,3,3,2,2,1,,,,,,,,,,0
"Lou, Yifei",,,,,,MATH,2413,003,1,3,5,1,,2,1,,1,1,,1,7,,,,,,0
"Lou, Yifei",,,,,,MATH,2413,004,4,7,3,2,5,4,6,3,,2,2,,7,,,,,,3
"Sun, Kuei","Zheng, Peng Peng",,,,,PHYS,2125,105,,15,10,1,2,,,,,,,,2,,,,,,0
"Tran, Daniel N","Wang, Hanghang",,,,,CHEM,2123,114,15,10,2,1,1,,,,,,,,,,,,,,1
"Sun, Kuei","Asaadzade, Asiye",,,,,PHYS,2125,106,,23,6,1,,,,,,,,,,,,,,,0
"Ali, Ahmed T",,,,,,MATH,1325,005,14,10,8,5,8,7,5,5,4,,,,5,,,,,,0
"Li, Changsong",,,,,,MATH,1325,003,11,8,6,3,5,6,1,1,2,1,1,,2,,,,,,1
"Hooshyar, Mohammad",,,,,,MATH,3379,001,8,1,3,1,2,6,1,6,5,1,,2,4,,,,,,3
"Gammons Jr, Billy G","McConnell, James S",,,,,NATS,4141,501,,11,,1,,,,1,,,,,,,,,,,1
"Lee, Mark","Agashe, Anish N","Feizi, Wirya",,,,PHYS,1302,001,7,27,25,13,12,11,13,9,5,4,6,3,5,,,,,,4
"Macalevey, Paul J","Fernando, Bharana A",,,,,PHYS,2126,106,8,12,3,2,,2,,,,,,,,,,,,,2
"Lary, David J",,,,,,PHYS,5315,001,,12,,,2,,,,,,,,,,,,,,0
"Nguyen, Mylinh T",,,,,,MATH,2413,005,5,4,7,3,5,3,,1,1,,2,1,14,,,,,,1
"McConnell, James S",,,,,,SMED,5303,501,,6,2,,,,,,,,,,,,,,,,0
"Humphreys, Natalia A",,,,,,ACTS,4308,001,3,7,4,4,5,3,1,,1,2,,1,3,,,,,,2
"Meloni, Gabriele",,,,,,CHEM,6100,001,,,,,,,,,,,,,1,,,,,76,0
"Bulla, Lee",,,,,,BIOL,5375,001,,5,2,8,3,2,,,,,,,,,,,,,0
"Dingrando, Laurel P","Karakis, Merve",,,,,NATS,3341,001,7,12,4,4,,2,,,,,,,,,,,,,0
"D'Arcy, Sheena","Yoo, Hyuntae","Bhat, Vandita D",,,,BIOL,3361,002,17,27,38,14,30,15,24,22,14,13,13,6,15,,,,,,11
"Hill, Brenna R","Phatak, Arya B",,,,,BIOL,2281,309,5,6,3,6,2,,1,,,,,,,,,,,,0
"Sra, Amandeep K","Lee, Hamilton",,,,,CHEM,2401,003,1,4,,,4,,1,4,1,1,,,1,,,,,,3
"Goux, Warren J","Dickens, Angela","Zhou, Qinhan","Xu, Jing","Hammack, Audrey",,CHEM,3472,002,,1,1,2,5,1,1,4,,,1,1,3,,,,,,1
"Taylor, Stephanie M","Gorby, Amanda J",,,,,CHEM,1311,004,6,36,25,23,34,24,16,12,18,11,7,11,22,,,,,,8
"Huang, Yu","Smith, Tristan",,,,,CHEM,1111,123,1,15,4,2,1,3,,1,2,,1,,,,,,,,0
"Qin, Yanping","Long, Chao",,,,,CHEM,1111,124,5,21,2,1,1,,,,,,,,,,,,,,0
"Gavva, Sandhya R","Tajik Asl, Masoumeh",,,,,CHEM,1111,125,10,13,4,,,,,,,,,,1,,,,,,1
"Yoo, Hyuntae",,,,,,BIOL,3161,009,5,2,5,5,6,3,4,4,1,2,1,1,,,,,,,3
"D'Arcy, Sheena",,,,,,BIOL,3161,010,4,6,6,1,2,2,9,3,2,,1,2,2,,,,,,4
"Dissanayake, Dushanthi S","Ren, Yi Xin",,,,,CHEM,1111,126,14,9,3,2,,1,,,,1,,,,,,,,,0
"Gartstein, Yuri","Pedersen, Eske M",,,,,PHYS,2422,HN1,1,4,3,1,2,1,,,,,,,,,,,,,0
"Dorsey, Floyd Z",,,,,,NATS,3343,002,1,5,,,4,,,2,,,1,,1,,,,,,0
"Dissanayake, Dushanthi S","Buford, Jonathan D",,,,,CHEM,1111,102,2,19,1,,2,,2,,,,,,2,,,,,,2
"Tran, Daniel N","Lin, Jason",,,,,CHEM,2123,115,12,7,9,1,1,,,,,,,,,,,,,,0
"Shah, Shailesh N","Jayathilaka, Honda Archchi Patabadige",,,,,CHEM,2123,116,8,15,2,,1,,,,,,,,1,,,,,,2
"Tran, Daniel N","Liyanage, Anuradha V",,,,,CHEM,2123,117,,19,7,1,,1,1,,,,,,,,,,,,1
"Shah, Shailesh N","Ong, Whitney","Graham, Robert L",,,,CHEM,2123,118,14,15,1,,,,,,,,,,,,,,,,0
"Panapitiya, Nimanka P",,,,,,CHEM,2323,006,11,34,4,17,12,8,7,8,11,7,3,,11,,,,,,4
"Rakotomalala, Diarisoa Mihaj A",,,,,,MATH,1314,003,7,4,7,3,1,1,2,3,4,2,1,2,9,,,,,,0
"Helal, Abdullah Al",,,,,,MATH,1314,004,6,4,3,6,7,1,3,3,3,1,3,2,5,,,,,,1
"Sutton, Julie",,,,,,MATH,1316,002,9,3,6,4,6,3,3,,3,,1,2,4,,,,,,4
"Miller, James W",,,,,,MATH,1325,501,5,5,7,5,3,2,1,2,6,2,1,2,4,,,,,,2
"Aman, Kelly",,,,,,MATH,2312,004,11,3,5,6,2,2,3,2,4,1,1,1,6,,,,,,1
"Sun, Kuei","Khashami, Fatemeh",,,,,PHYS,2125,107,7,20,,1,1,,,,,,1,,,,,,,,0
"Sun, Kuei","Bhattacharjee, Koustubh",,,,,PHYS,2125,108,,11,9,2,4,1,,,,,,,2,,,,,,1
"Sun, Kuei","Xu, Xiaotao",,,,,PHYS,2125,109,7,18,2,,1,1,,,,,1,,,,,,,,0
"Sun, Kuei","Wang, Qing",,,,,PHYS,2125,110,10,12,1,2,2,1,,,,,,,1,,,,,,1
"Sun, Kuei",,,,,,PHYS,2125,111,2,19,4,1,2,,,,,,,,1,,,,,,1
"Sun, Kuei","Xu, Xiaotao",,,,,PHYS,2125,112,2,22,1,2,1,,,,,,,,,,,,,,2
"Sun, Kuei","Liu, Xun",,,,,PHYS,2125,601,5,20,1,2,1,1,,,,,,,,,,,,,0
"Sun, Kuei","Bhattacharjee, Koustubh",,,,,PHYS,2125,602,,14,6,4,,,,,,,,,1,,,,,,4
"Macalevey, Paul J","Steinle, Nathan A",,,,,PHYS,2126,110,12,11,1,2,,,,,,,,,,,,,,,3
"Macalevey, Paul J","Kakani, Vivek M",,,,,PHYS,2126,111,5,9,10,2,3,,,,1,,,,,,,,,,0
"Macalevey, Paul J","Adhya, Purbi",,,,,PHYS,2126,112,5,9,8,6,1,,1,,,,,,,,,,,,0
"Macalevey, Paul J","Parajuli, Santosh",,,,,PHYS,2126,113,15,7,5,1,,,,,,,1,,,,,,,,0
"Macalevey, Paul J","Rossi, Joseph",,,,,PHYS,2126,601,8,14,5,1,,,,,,,,,,,,,,,2
"Macalevey, Paul J","Mueller, David H",,,,,PHYS,2126,602,5,8,8,5,2,,,,,,,,1,,,,,,1
"Macalevey, Paul J","Parajuli, Santosh",,,,,PHYS,2126,603,6,18,4,,,,,,,,,,,,,,,,0
"Gartstein, Yuri","Pedersen, Eske M",,,,,PHYS,4301,001,1,6,4,2,4,4,4,1,2,1,1,,5,,,,,,3
"Pujana, Ignacio","Allen Langhans, April D",,,,,GEOS,1304,001,,2,1,,3,,,1,1,,,,,,,,,,2
"Nguyen, Mylinh T",,,,,,MATH,2413,006,6,10,8,4,5,3,3,2,,,2,2,1,,,,,,2
"Lewis, David L",,,,,,MATH,2413,007,6,3,6,7,3,5,1,2,,3,,1,9,,,,,,2
"Nguyen, Mylinh T",,,,,,MATH,2413,008,8,6,7,5,1,2,1,4,2,1,2,2,4,,,,,,2
"Cao, Yan",,,,,,MATH,2413,009,,6,8,3,6,1,2,3,1,5,,3,3,,,,,,2
"Cao, Yan",,,,,,MATH,2413,010,3,9,5,6,4,5,1,3,1,,5,,5,,,,,,0
"Martynova, Irina",,,,,,MATH,2413,011,4,7,8,2,6,1,4,2,1,4,1,1,3,,,,,,1
"Garrett, Bentley T",,,,,,MATH,2414,004,1,4,3,3,3,3,7,2,5,1,2,1,7,,,,,,6
"Eydelzon, Anatoly",,,,,,MATH,2414,005,2,2,1,1,1,3,7,5,5,3,1,1,9,,,,,,4
"Eydelzon, Anatoly",,,,,,MATH,2414,006,1,2,3,,3,2,4,5,4,2,,2,13,,,,,,3
"Zweck, John W",,,,,,MATH,2415,002,2,9,5,1,19,3,4,9,3,,4,1,8,,,,,,3
"Foley, Manjula",,,,,,MATH,2417,004,19,6,1,,,2,2,1,5,,1,2,7,,,,,,1
"Balanov, Zalman",,,,,,MATH,2417,005,7,3,1,1,3,4,3,3,7,,,2,6,,,,,,3
"Khafizov, Farid T",,,,,,MATH,2417,007,7,1,5,3,3,2,,1,9,,,,3,,,,,,2
"Khafizov, Farid T",,,,,,MATH,2417,008,10,4,6,4,3,2,1,,6,,,,8,,,,,,1
"Dahal, Rabin",,,,,,MATH,2418,501,4,2,3,3,12,9,4,5,6,3,3,3,5,,,,,,3
"Ammann, Larry",,,,,,STAT,3355,001,3,15,8,4,6,6,3,5,1,,2,,2,,,,,,1
"Sutton, Julie","Annan, Augustine",,,,,MATH,1306,002,7,11,2,5,5,4,4,2,1,,1,,,,,,,,1
"Shi, Xiaoyan","Ferguson, Sarah W",,,,,PHYS,4352,001,4,3,3,3,1,1,,1,1,1,,,,,,,,,0
"Humphreys, Natalia A",,,,,,ACTS,4302,001,3,4,3,3,6,,,1,1,1,,,4,,,,,,2
"Wijenayake, Sumudu N","Udamulle Gedara, Chinthaka Mahesh",,,,,CHEM,2125,104,9,9,6,2,1,,,,,,,,,,,,,,0
"Koshevnik, Yuly","Langford, John","Ofori-Boateng, Dorcas","Cao, Ruikai",,,STAT,3360,002,8,16,7,9,7,4,5,5,2,1,2,,2,,,,,,2
"Cummings, Anthony R","Karale, Yogita Y",,,,,GEOS,2302,001,3,,1,1,3,5,,2,,,1,,,,,,,,0
"D'Arcy, Sheena","Yoo, Hyuntae","Bhat, Vandita D",,,,CHEM,3361,002,4,6,6,7,2,2,4,3,1,,3,,1,,,,,,0
"Macalevey, Paul J","Hussain, Shadhin",,,,,PHYS,2126,103,4,17,7,,1,,,,,,,,1,,,,,,0
"Macalevey, Paul J","Adhya, Purbi",,,,,PHYS,2126,108,5,12,10,1,,,1,,1,,,,,,,,,,0
"Pantano, Paul",,,,,,CHEM,2401,004,1,4,1,3,3,2,2,2,,,,,,,,,,,2
"Hairston, Marc R",,,,,,NATS,1311,001,5,17,7,10,20,11,9,3,5,,1,,1,,,,,,0
"Ding, Hui",,,,,,MATH,1325,010,5,6,9,3,5,4,2,2,5,,,1,4,,,,,,1
"Sauter, Alan D",,,,,,MATH,2312,002,16,7,4,,4,4,1,2,,,1,1,6,,,,,,2
"Dabkowska, Malgorzata A","Lama, Sonam",,,,,MATH,3310,002,9,9,5,6,2,2,2,,1,2,,,1,,,,,,1
"Yu, Wen H",,,,,,BIOL,3456,301,,9,6,3,4,,2,,,,4,2,,,,,,,2
"Wilson, Michelle","Yu, Wen H","Sivakolundu, Dinesh Keran",,,,BIOL,3456,302,,2,5,2,3,2,1,1,2,,2,1,,,,,,,0
"Wilson, Michelle","Yu, Wen H","Song, Ming",,,,BIOL,3456,304,1,4,4,3,6,,2,1,3,,2,,,,,,,,0
"Ramirez, Ruben D",,,,,,BIOL,3455,802,,3,4,3,6,2,1,,5,,2,1,2,,,,,,2
"Maitra, Meenakshi","Ramirez, Ruben D",,,,,BIOL,3455,302,1,5,7,3,3,2,2,1,2,1,1,2,1,,,,,,1
"Ramirez, Ruben D","Maitra, Meenakshi",,,,,BIOL,3455,303,1,2,4,1,4,4,1,2,1,1,3,2,3,,,,,,3
"Ramirez, Ruben D",,,,,,BIOL,3455,304,,3,2,2,1,4,2,1,3,2,4,1,4,,,,,,3
"Maitra, Meenakshi","Ramirez, Ruben D",,,,,BIOL,3455,801,,2,3,4,3,1,5,5,4,,,,3,,,,,,1
"Hill, Brenna R","Yu, Wen H","Kalainayakan, Sarada Preeta",,,,BIOL,3456,303,1,3,2,4,3,5,2,2,3,1,1,,2,,,,,,1
"Delk, Nikki A","Pan, Jing","Thomas-Jardin, Shayna E","Nawas, Afshan Fathima","Mistry, Ragini M",,BIOL,3302,002,8,15,17,7,9,20,9,5,7,8,,2,3,,,,,,1
"Abeykoon, Nimali C","Abeyrathna, Wannaku R",,,,,CHEM,1111,127,14,9,,1,1,1,1,,1,,,,,,,,,,2
"Karunathilake, Arosha A","Tajik Asl, Masoumeh",,,,,CHEM,1111,128,7,12,4,4,,,,,,,,,1,,,,,,1
"Dissanayake, Dushanthi S","Ren, Yi Xin",,,,,CHEM,1111,129,11,8,2,,1,3,,1,,,3,,,,,,,,1
"Abeykoon, Nimali C","Sturgeon, Grant J",,,,,CHEM,1111,130,7,16,,1,,,,,1,,,,2,,,,,,2
"Qin, Yanping","Long, Chao",,,,,CHEM,1111,131,1,15,4,1,2,1,1,,,,2,,1,,,,,,2
"Taylor, Stephanie M","Gorby, Amanda J",,,,,CHEM,1311,005,7,30,23,18,24,21,18,25,18,9,13,8,27,,,,,,8
